2009-04-27 19:07 - JobOrganizer - INFO: ========================================
2009-04-27 19:07 - JobOrganizer - INFO: JobOrganizer in init
2009-04-27 19:07 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-27 19:07 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-27 19:07 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-27 19:07 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-27 19:07 - JobOrganizer - INFO: ========================================
2009-04-27 19:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 19:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:10 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-27 20:54 - JobOrganizer - INFO: Updating jobInformation list
